Materia, Academia, Area, Clave
Fundamentos de programacion,Ciencias computacionales,Programacion,I5288
Logica matematica,Ciencias computacionales,Matematicas,I5247
Precalculo,Ciencias computacionales,Matematicas,IG738
Fundamentos de fisica,Ciencias computacionales,Fisica,IL340
Introduccion a la ingenieria,Ciencias computacionales,Administrativa,IL342
Programacion estructurada,Ciencias computacionales,Programacion,IL352
Matematicas discretas,Ciencias computacionales,Matematicas,IL345
Calculo diferencial e integral,Ciencias computacionales,Matematicas,IL344
mecanica,Ciencias computacionales,Fisica,IL343
Administracionn de proyectos tecnologicos,Ciencias computacionales,Administrativa,IL353
Programacion orientada a objetos,Ciencias computacionales,Programacion,I5289
Algebra lineal,Ciencias computacionales,Matematicas,IB056
Ecuaciones diferenciales,Ciencias computacionales,Matematicas,IL347
Circuitos Electronicos y electromagnetismo,Ciencias computacionales,Arquitectura de computadoras,IL346
Sistemas digitales,Ciencias computacionales,Arquitectura de computadoras,IL363
Estructura de datos,Ciencias computacionales,Programacion,IL354
Probabilidad y estadistica,Ciencias computacionales,Matematicas,IB067
Metodos numericos,Ciencias computacionales,Matematicas,IL348
Arquitectura de computadoras,Ciencias computacionales,Arquitectura de computadoras,IL365
Programacion para internet,Ciencias computacionales,Programacion,IL362
Liderazgo y emprendimiento,Ciencias computacionales,Administrativa,IL350
Analisis de algoritmos,Ciencias computacionales,Programacion,IL355
Bases de datos,Ciencias computacionales,Programacion,IL356
Redes de computadoras,Ciencias computacionales,Programacion,IL364
Fundamentos de IA,Ciencias computacionales,Inteligencia Artificial,IL361
Sistemas operativos,Ciencias computacionales,Programacion,IL366
Innovacion y tecnologia,Ciencias computacionales,Administrativa,IL351
Interaccion Humano Computadora,Ciencias computacionales,Programacion,IL367
Ingenieria de Software,Ciencias computacionales,Programacion,CB224
Programacion de Bajo Nivel,Ciencias computacionales,Programacion,IL358
Teoria de la computacion,Ciencias computacionales,Programacion,IL357
Seminario de Integracion Protocolo,Ciencias computacionales,Administrativa,IL369
Seminario de Integracion Desarrollo,Ciencias computacionales,Administrativa,IL370
Laboratorio Abierto: Disenio,Ciencias computacionales,Programacion,IL372
Laboratorio Abierto: Construccion,Ciencias computacionales,Programacion,IL373
Laboratorio Abierto: Prueba,Ciencias computacionales,Programacion,IL374
Compiladores,Ciencias computacionales,Programacion,IL359
Programacion paralela y concurrente,Ciencias computacionales,Programacion,IL360
Seguridad de la informacion,Ciencias computacionales,Programacion,IL368
Seminario de Integracion Comunicacion,Ciencias computacionales,Administrativa,IL371
Ingenieria y sustentabilidad ,Ciencias computacionales,Administrativa,V0717
Informatica administrativa,Ciencias computacionales,Programacion,V0730
Algoritmos metaheuristicos,Ciencias computacionales,Inteligencia Artificial,V0726
Mineria de datos,Ciencias computacionales,Ciberseguridad,CU207
Innovacion tecnologica y emprendimiento,Ciencias computacionales,Administrativa,V0719
Calidad de software,Ciencias computacionales,Programacion,V0732
Administracion de bases de datos,Ciencias computacionales,Programacion,V0724
Sistemas Inteligentes,Ciencias computacionales,Inteligencia Artificial,V0734
Control de Proyectos,Ciencias computacionales,Administrativa,V0727
Tecnologias de Inteligencia Artificial,Ciencias computacionales,Inteligencia Artificial,V0728
Computacion cuantica ,Ciencias computacionales,Programacion,V0737
Fisica cuantica,Ciencias computacionales,Fisica,V0736
Modelado cuantico,Ciencias computacionales,Fisica,V0738
Internet de las cosas,Ciencias computacionales,Programacion,V0748
Desarrollo de paginas web en la nube y moviles,Ciencias computacionales,Programacion,V0749
Computacion en frontera,Ciencias computacionales,Ciberseguridad,V0750
Analisis forense digital,Ciencias computacionales,Ciberseguridad,V0741
Seguridad defensiva y gestion,Ciencias computacionales,Ciberseguridad,V0740
Seguridad en redes,Ciencias computacionales,Ciberseguridad,V0739
Induccion a la ingenieria,Ciencias computacionales,Administrativa,V0709
